,0,1,2
0,airborne1,0.5,0 days 00:00:03.368416000
1,airborne1,2.0,0 days 00:00:03.299878000
2,airborne1,3.0,0 days 00:00:03.717364000
3,airborne1,4.0,0 days 00:00:05.387402000
4,airborne1,5.0,0 days 00:00:05.723941000
5,airborne1,6.0,0 days 00:00:07.998152000
6,airborne1,7.0,0 days 00:00:12.128479000
7,airborne1,8.0,0 days 00:00:22.932335000
