,0,1,2
0,AD9_2,1,0 days 00:00:13.134035000
1,AD9_2,2,0 days 00:00:12.153893000
2,AD9_2,3,0 days 00:00:12.409356000
3,AD9_2,4,0 days 00:00:13.687974000
4,AD9_2,5,0 days 00:00:14.260446000
5,AD9_2,6,0 days 00:00:14.860345000
6,AD9_2,7,0 days 00:00:17.110765000
7,AD9_2,8,0 days 00:00:13.199560000
