,0,1,2
0,AD12_1,1,0 days 00:02:15.972320000
1,AD12_1,2,0 days 00:02:19.047373000
2,AD12_1,3,0 days 00:02:13.141054000
3,AD12_1,4,0 days 00:02:18.418759000
4,AD12_1,5,0 days 00:02:19.189615000
5,AD12_1,6,0 days 00:02:21.818293000
6,AD12_1,7,0 days 00:02:21.194875000
7,AD12_1,8,0 days 00:02:27.971690000
