,0,1,2
0,DU9_2,1,0 days 00:07:48.691448000
1,DU9_2,2,0 days 00:07:46.977408000
2,DU9_2,3,0 days 00:07:55.589191000
3,DU9_2,4,0 days 00:07:47.765955000
4,DU9_2,5,0 days 00:08:06.134976000
5,DU9_2,6,0 days 00:08:02.969793000
6,DU9_2,7,0 days 00:08:17.522086000
7,DU9_2,8,0 days 00:08:24.520843000
